trial_id,config_id,hidden1,hidden2,activation,dropout,optimizer,learning_rate,weight_decay,epochs,plqy_val_spearman,emi_val_spearman,em_val_spearman,abs_val_spearman,weighted_val_spearman,macro_val_spearman,worst_property_val_spearman,fold_weighted_spearman_mean,fold_weighted_spearman_std,runtime_seconds,rank
89,3d7aefb9d3b93918,96,96,leaky_relu,0.15,adamw,0.001427211972637999,3.925550850570629e-07,150,0.6169476619916153,0.7011876490221269,0.4821230505121736,0.6906398360100612,0.6298835238405524,0.6227245493839942,0.4821230505121736,0.6304685700275412,0.007732980747456388,66.1143729686737,11
78,5d0d2249af8eba90,96,64,relu,0.15,adam,0.0009488958506011756,3.9029918027000896e-05,350,0.6190704685091121,0.6985499929649855,0.47758610935742746,0.6942026795052884,0.6296336489790529,0.6223523125842033,0.47758610935742746,0.6299612292569905,0.005278797363704731,109.17994022369385,12
81,4306cfd9e9cfa0f2,64,64,relu,0.15,adamw,0.0039022022264409146,6.781697332050053e-05,150,0.6199311671284022,0.6996030654259559,0.4757913553633092,0.693644777084581,0.629421669926397,0.622242591250562,0.4757913553633092,0.6294966915510248,0.007208430445518924,34.098390102386475,13
42,c82fc4870f8ff1ad,128,64,leaky_relu,0.15,adamw,0.0010504159271939734,1.062234479993689e-06,500,0.6175648068038362,0.6999102996342923,0.4747794229535777,0.6946261243428032,0.6291820352250791,0.6217201634336273,0.4747794229535777,0.6291811851410206,0.007220376973217605,212.6963610649109,14
43,1083dbb310fdd830,192,64,relu,0.2,adam,0.00015038247967519901,0.0011967998021717207,500,0.6165818978345994,0.7002709195275246,0.4834148690560533,0.6884269772175747,0.6291704064552571,0.6221736659089381,0.4834148690560533,0.6297086661821027,0.008487996069858447,264.0639560222626,15
41,a1aa73b9b17f5739,128,32,relu,0.1,adam,0.0021102607246337012,9.877969989690648e-07,150,0.6166517895808555,0.699476716431271,0.4806445826802764,0.6909061074811174,0.6291223022015506,0.62191979904338,0.4806445826802764,0.6296580044629668,0.00773848294299751,40.94220519065857,16
31,a177db0f206902e2,256,32,leaky_relu,0.25,adamw,0.0003941396766512985,9.71329224280211e-06,250,0.6199986306079337,0.6998953884928723,0.48043685056792484,0.6879758113653465,0.6287657554923493,0.6220766702585193,0.48043685056792484,0.6297317938249819,0.009564378825745089,182.9167857170105,17
37,525df24d12dd18fb,256,64,leaky_relu,0.25,adam,0.0012554042317230508,5.169877625619855e-05,350,0.6188675318604927,0.698485710318058,0.4723129771934671,0.6955927186523975,0.6287514792807036,0.6213147345061039,0.4723129771934671,0.6292781913909236,0.006483065847699911,275.6076180934906,18
12,38debe248d48f5ac,128,96,leaky_relu,0.25,adam,0.0017893424119963316,2.0743744028985277e-05,350,0.6182640849024482,0.6975708253430991,0.47330081676284563,0.6957770766070194,0.6287199999283226,0.6212282009038531,0.47330081676284563,0.6290311926654889,0.007697914491017047,213.4266848564148,19
84,882bb0e5eb77424e,192,96,leaky_relu,0.05,adamw,0.0008025961496958039,0.0003832808607123,250,0.6181777824358714,0.6967204550730848,0.47308525924463324,0.6951915752684344,0.6282409509381099,0.620793768005506,0.47308525924463324,0.6284656095037332,0.00612785169244797,189.41851496696472,20
92,e9994220f9929406,256,48,relu,0.0,adamw,0.0002653099833681582,2.0654251346144955e-07,350,0.6174441584215586,0.6988716808949725,0.47476066692825125,0.6925691327437264,0.628209083730126,0.6209114097471272,0.47476066692825125,0.6286576323923303,0.008126867484626165,181.8080997467041,21
25,4db2d4a88440c793,192,48,leaky_relu,0.25,adamw,0.0009337506869412347,3.3558340707381327e-07,650,0.6176240240801678,0.6971555108850996,0.47114075496202384,0.6961755408052399,0.6281092987246089,0.6205239576831327,0.47114075496202384,0.6280528810814276,0.00709879632047895,424.8211143016815,22
